;business_segment;activity_subsector;activity;company_code;company_name;CAGR Lucros 5 anos;CAGR Receitas 5 anos;D.Y;Dív. líquida/EBIT;Dív. líquida/EBITDA;Dív. líquida/PL;EV/EBIT;EV/EBITDA;Giro ativos;LPA;Liq. corrente;M. Bruta;M. EBIT;M. EBITDA;M. Líquida;P/Ativo;P/Ativo Circ. Liq.;P/Cap. Giro;P/EBIT;P/EBITDA;P/L;P/SR;P/VP;PEG Ratio;PL/Ativos;Passivos/Ativos;ROA;ROE;ROIC;VPA
0;Eletrodomésticos;Comércio;Consumo Cíclico;MGLU3;MAGAZINE LUIZA;0.0;29.98;0.0;20.18;3.57;0.47;118.79;21.03;0.99;-0.05;1.58;27.34;0.7;3.97;-1.04;0.68;-1.61;3.26;98.61;17.46;-66.56;0.69;2.28;0.44;0.3;0.7;-1.03;-3.43;-4.74;1.6
0;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;PETR4;PETROBRAS;0.0;9.88;63.56;0.87;0.71;0.69;2.12;1.73;0.65;13.53;1.17;51.31;47.78;58.64;28.61;0.36;-0.44;14.64;1.17;0.95;1.95;0.56;0.92;0.06;0.39;0.61;18.63;47.38;31.73;28.56
0;Eletrodomésticos;Comércio;Consumo Cíclico;VIIA3;VIA S.A;0.0;9.29;0.0;6.54;3.51;1.47;9.44;5.07;0.89;-0.09;0.81;30.44;4.1;7.63;-0.5;0.11;-0.19;-1.02;2.91;1.56;-23.98;0.12;0.65;0.01;0.16;0.84;-0.44;-2.72;3.93;3.44
0;Bancos;Intermediários Financeiros;Financeiro e Outros;BBDC4;BRADESCO;4.42;8.37;7.22;0.0;0.0;0.0;5.77;0.0;0.11;1.99;8.86;36.23;11.76;0.0;10.3;0.08;-0.09;1.42;6.14;0.0;7.01;0.72;0.94;2.04;0.09;0.91;1.18;13.37;0.0;14.89
0;Serviços Financeiros Diversos;Serviços Financeiros Diversos;Financeiro e Outros;B3SA3;B3;26.66;22.44;4.39;-0.5;-0.42;-0.14;11.55;9.72;0.21;0.69;1.84;89.92;55.17;65.56;41.8;1.41;-2.21;8.59;12.05;10.14;15.9;6.65;3.31;-1.53;0.43;0.57;8.88;20.84;12.39;3.33
0;Tecidos. Vestuário e Calçados;Comércio;Consumo Cíclico;LREN3;LOJAS RENNER;12.01;12.26;3.4;-0.78;-0.45;-0.11;12.86;7.39;0.63;1.32;1.86;60.17;10.6;18.45;9.73;0.91;-2.37;3.17;13.64;7.84;14.86;1.45;1.9;0.14;0.48;0.52;6.11;12.8;10.52;10.31
0;Telecomunicações;Telecomunicações;Comunicações;OIBR3;OI;0.0;-16.61;0.0;-5.47;1.9;0.0;-5.88;2.04;0.24;-4.45;1.37;-3.45;-28.92;83.29;-25.35;0.03;-0.04;0.36;-0.4;0.14;-0.45;0.12;-0.58;0.01;-0.05;1.05;-6.02;-128.78;-30.36;-3.46
0;Serv.Méd.Hospit..Análises e Diagnósticos;Serv.Méd.Hospit..Análises e Diagnósticos;Saúde;HAPV3;HAPVIDA;0.0;26.62;0.0;64.35;3.7;0.13;427.44;24.59;0.27;-0.04;1.06;25.21;0.5;8.77;-1.31;0.5;-0.56;80.39;363.09;20.89;-139.57;1.83;0.74;0.84;0.68;0.32;-0.36;-0.53;-0.56;6.88
0;Exploração. Refino e Distribuição;Petróleo. Gás e Biocombustíveis;Petróleo. Gás e Biocombustíveis;RAIZ4;RAIZEN S.A.;0.0;0.0;4.9;11.26;2.06;1.85;20.26;3.72;2.33;0.01;1.19;4.44;1.43;7.77;0.04;0.3;-0.56;3.99;9.0;1.65;325.49;0.13;1.48;-3.35;0.2;0.79;0.09;0.45;4.11;2.05
0;Minerais Metálicos;Mineração;Materiais Básicos;VALE3;VALE;40.33;15.85;8.64;0.46;0.36;0.21;5.1;4.01;0.5;20.07;1.12;45.17;39.88;50.73;42.35;0.93;-1.13;49.16;4.64;3.65;4.37;1.85;2.15;-0.21;0.43;0.57;21.16;49.22;28.76;40.78
